Date;Open;High;Low;Close;Adj Close;Volume
27/09/2005;21.049999;21.4;19.1;19.299999;18.194908;961200
28/09/2005;19.299999;20.530001;19.200001;20.5;19.3262;5747900
29/09/2005;20.4;20.58;20.1;20.209999;19.052807;1078200
30/09/2005;20.26;21.049999;20.18;21.01;19.806997;3123300
03/10/2005;20.9;21.75;20.9;21.5;20.268936;1057900
04/10/2005;21.440001;22.5;21.440001;22.16;20.89115;1768800
05/10/2005;22.1;22.309999;21.75;22.200001;20.92886;904300
06/10/2005;22.6;23;22.4;22.58;21.287102;1614200
07/10/2005;22.25;22.6;21.799999;22.15;20.881725;753400
10/10/2005;22.280001;22.290001;22.1;22.209999;20.938292;538700
11/10/2005;22.26;22.299999;21.799999;21.98;20.721458;764600
12/10/2005;21.9;22.049999;21.639999;21.76;20.514057;912900
13/10/2005;21.700001;21.799999;21.4;21.709999;20.466917;531300
14/10/2005;21.85;22.4;21.85;22.27;20.994852;887800
17/10/2005;22.15;22.219999;21.85;22.08;20.815733;464000
18/10/2005;22.059999;22.299999;21.35;21.49;20.25951;1815500
19/10/2005;21.370001;21.6;20.85;21.379999;20.155809;1466000
20/10/2005;21.35;21.48;20.85;21.02;19.816422;640900
21/10/2005;21.02;22.42;21.01;21.959999;20.7026;917000
24/10/2005;22.01;22.360001;21.950001;22.309999;21.032566;508800
25/10/2005;22.25;22.540001;21.700001;22;20.740311;437300
26/10/2005;22;22.450001;21.99;22.32;21.041994;543200
27/10/2005;22.26;22.559999;22.200001;22.559999;21.268251;351200
28/10/2005;22.549999;23.9;22.370001;23.9;22.531521;1614900
31/10/2005;24;25.35;24;24.68;23.266869;706400
01/11/2005;24.700001;25.08;24.690001;25.02;23.587395;866800
02/11/2005;25.23;28.1;25.200001;27.549999;25.972525;2870200
03/11/2005;27.6;28.1;27.6;27.870001;26.274206;906100
04/11/2005;27.799999;29;27.77;28.799999;27.150953;912600
07/11/2005;29;29.43;28.379999;28.93;27.273512;486900
08/11/2005;29.1;29.700001;29;29.43;27.744883;1395000
09/11/2005;29.43;31.299999;29.43;31.299999;29.507807;1312300
10/11/2005;31.15;33.959999;31.15;32.799999;30.921923;1948900
11/11/2005;33.049999;33.950001;33;33.349998;31.440424;1183900
14/11/2005;33.5;34.5;33.450001;33.75;31.817516;1059200
15/11/2005;33.75;33.880001;32.84;33.880001;31.940081;759200
16/11/2005;33.509998;33.849998;33.400002;33.599998;31.676109;542600
17/11/2005;33.400002;34.549999;33.23;34.32;32.354889;1011900
18/11/2005;34.349998;34.349998;32.860001;33.049999;31.1576;529800
21/11/2005;32.75;32.75;31.26;31.99;30.158298;636300
22/11/2005;31.99;32.740002;31.6;32.5;30.639099;421900
23/11/2005;32.200001;33.68;32.16;33.040001;31.148176;671300
25/11/2005;33.009998;33.200001;32.720001;32.849998;30.969049;138500
28/11/2005;33.049999;33.849998;33;33.41;31.497;630400
29/11/2005;33.299999;33.5;32.630001;32.900002;31.016195;428600
30/11/2005;32.900002;33.799999;32.900002;33.59;31.666685;690100
01/12/2005;34;34.939999;34;34.279999;32.317177;371800
02/12/2005;34.400002;34.650002;34.25;34.279999;32.317177;428600
05/12/2005;32.080002;32.639999;31.379999;32.349998;30.497686;1124400
06/12/2005;32.040001;33.75;32.040001;33.619999;31.694967;790600
07/12/2005;33.400002;34.18;33.299999;33.950001;32.006069;783900
08/12/2005;33.950001;33.98;33.529999;33.66;31.732677;383700
09/12/2005;33.41;34.07;33.349998;33.880001;31.940081;409700
12/12/2005;33.799999;33.91;33.709999;33.759998;31.826944;421500
13/12/2005;33.759998;33.799999;33.049999;33.25;31.346157;226700
14/12/2005;33.400002;33.689999;33.25;33.540001;31.619549;158400
15/12/2005;33.639999;33.880001;33.349998;33.630001;31.704401;313900
16/12/2005;33.68;35.5;33.68;35.150002;33.137363;1646900
19/12/2005;35.18;35.450001;34.889999;35.25;33.231636;377400
20/12/2005;35.25;35.459999;34.02;35.32;33.297623;564500
21/12/2005;35.380001;37;35.330002;36.509998;34.419479;701200
22/12/2005;36.599998;37.049999;36.349998;36.830002;34.721172;247800
23/12/2005;36.73;38;36.73;37.73;35.569641;493000
27/12/2005;37.990002;38.799999;37.200001;37.459999;35.315098;476400
28/12/2005;38;38.150002;36.349998;37.450001;35.305672;327800
29/12/2005;37.450001;37.950001;37.189999;37.380001;35.239662;189800
30/12/2005;37.549999;37.580002;36.919998;37.139999;35.013416;172800
03/01/2006;37.200001;38.279999;36.849998;37.450001;35.305672;1013200
04/01/2006;37.700001;40.599998;37.700001;39.200001;36.955463;1928400
05/01/2006;39.18;39.709999;38.91;39.709999;37.436264;317900
06/01/2006;39.709999;39.709999;38.139999;39;36.766926;349200
09/01/2006;38.799999;38.880001;38.5;38.610001;36.39925;220800
10/01/2006;38.610001;38.709999;37.400002;37.799999;35.635632;191300
11/01/2006;37.799999;37.799999;34.650002;34.799999;32.807407;974300
12/01/2006;33;35.349998;32.959999;34.990002;32.986526;2008900
13/01/2006;35;35.419998;33.310001;34.049999;32.100342;734200
17/01/2006;33.549999;33.549999;29.620001;30;28.282246;2351200
18/01/2006;29.1;31.16;28.879999;31;29.224981;1773700
19/01/2006;30.799999;31.24;29.34;30.389999;28.64991;857200
20/01/2006;30.280001;30.280001;28.6;29.24;27.565762;788700
23/01/2006;29.49;30.049999;29.15;29.42;27.735455;530800
24/01/2006;29.9;31.469999;29.75;31.02;29.243835;648900
25/01/2006;31.15;31.51;30.75;31;29.224981;836300
26/01/2006;31.049999;31.25;30;30.25;28.517929;313700
27/01/2006;30.200001;30.200001;28.299999;28.889999;27.235802;518600
30/01/2006;28.73;29.58;28.73;29;27.339506;917300
31/01/2006;29.17;30.41;29.01;29.34;27.660034;490600
01/02/2006;29.1;29.620001;28.35;29.379999;27.697746;816800
02/02/2006;29.379999;30.200001;29;30.01;28.29167;767200
03/02/2006;30.01;30.01;29.200001;29.549999;27.858011;397600
06/02/2006;29.200001;29.700001;28.66;29.27;27.59404;550900
07/02/2006;29.35;29.450001;28.620001;29;27.339506;489800
08/02/2006;29.1;30.76;29.01;29.99;28.272814;869700
09/02/2006;29.950001;30.48;29.549999;30.35;28.612202;443400
10/02/2006;30.5;30.5;29.74;30;28.282246;403700
13/02/2006;31.049999;32.099998;30.549999;31.17;29.385246;826000
